Title,Genre,User Rating,Number of Votes,Runtime,Year,Stars,Certificate,Metascore,Gross,Episode,Episode Title
The Eminence in Shadow,"Animation, Action, Adventure",7.8,"3,704",24 min,(2022– ),"Seiichiro Yamashita,Kana Hanazawa,Haruka Shiraishi,Inori Minase",TV-14,,3704,0,
Made in Abyss,"Animation, Action, Adventure",8.4,"13,715",325 min,(2017– ),"Luci Christian,Brittany Lauda,Miyu Tomita,Mariya Ise",TV-14,,13715,0,
Rent-a-Girlfriend,"Animation, Comedy, Romance",7.1,"7,371",23 min,(2020– ),"Aleks Le,Lizzie Freeman,Shun Horie,Landon McDonald",TV-14,,7371,0,
High School DxD,"Animation, Action, Comedy",7.6,"12,536",23 min,(2012–2018),"Yûki Kaji,Yôko Hikasa,Shizuka Itou,Azumi Asakura",TV-MA,,12536,0,
Detective Conan,"Animation, Action, Comedy",8.5,"14,534",25 min,(1996– ),"Minami Takayama,Wakana Yamazaki,Hoang Khuyet,Akira Kamiya",TV-14,,14534,0,
Mech Cadets,"Animation, Action, Adventure",6.8,497,25 min,(2023– ),"Brandon Soo Hoo,Aparna Brielle,Victoria Grace,Josh Sundquist",TV-Y7,,497,0,
Record of Ragnarok,"Animation, Action, Adventure",6.4,"7,987",24 min,(2021– ),"Kellen Goff,Tomoyo Kurosawa,Miyuki Sawashiro,Daisuke Namikawa",TV-14,,7987,0,
Castle in the Sky,"Animation, Adventure, Family",8,"1,74,811",125 min,-1986,,PG,78,174811,0,
Chicken Little,"Animation, Adventure, Comedy",5.7,"97,812",81 min,-2005,,G,48,97812,0,
The Promised Neverland,"Animation, Action, Adventure",8.2,"43,657",23 min,(2019–2021),"Sumire Morohoshi,Mariya Ise,Shinei Ueki,Lynn",TV-14,,43657,0,
Nausicaä of the Valley of the Wind,"Animation, Adventure, Sci-Fi",8,"1,76,445",117 min,-1984,,PG,86,176445,0,
Kaguya-sama: Love is War,"Animation, Comedy, Romance",8.5,"17,750",24 min,(2019– ),"Aoi Koga,Makoto Furukawa,Konomi Kohara,Yutaka Aoyama",TV-14,,17750,0,
Horimiya,"Animation, Comedy, Drama",8.1,"12,801",24 min,-2021,"Haruka Tomatsu,Kôki Uchiyama,Seiichiro Yamashita,Zeno Robinson",TV-14,,12801,0,
Erased,"Animation, Crime, Drama",8.5,"54,217",264 min,-2016,"Shinnosuke Mitsushima,Tao Tsuchiya,Minami Takayama,Ben Diskin",TV-14,,54217,0,
Brother Bear,"Animation, Adventure, Comedy",6.8,"1,18,891",85 min,-2003,,G,48,118891,0,
Parasyte: The Maxim,"Animation, Action, Drama",8.3,"44,346",22 min,(2014– ),"Aya Hirano,Nobunaga Shimazaki,Rinka H.B.B.,Brittney Karbowski",TV-MA,,44346,0,
Dinosaur,"Animation, Adventure, Drama",6.4,"64,991",82 min,-2000,,PG,56,64991,0,
Blue Lock,"Animation, Sport, Thriller",8.3,"10,417",22 min,(2022– ),"Ricco Fajardo,Aaron Dismuke,Drew Breedlove,Alex Hom",TV-14,,10417,0,
Fruits Basket,"Animation, Comedy, Drama",8.6,"7,984",24 min,(2019–2021),"Manaka Iwami,Laura Bailey,Nobunaga Shimazaki,Eric Vale",TV-14,,7984,0,
Demon Slayer the Movie: Mugen Train,"Animation, Action, Adventure",8.2,"67,605",117 min,-2020,,R,72,67605,0,
That Time I Got Reincarnated as a Slime,"Animation, Action, Adventure",8.1,"13,330",25 min,(2018– ),"Miho Okasaki,Megumi Toyoguchi,Brittney Karbowski,Mallorie Rodak",TV-PG,,13330,0,
Weathering with You,"Animation, Drama, Fantasy",7.5,"50,543",112 min,-2019,,PG-13,72,50543,0,
